origin_category,purpose,real_consumer,runtime,status,dependencies,risk,license,decision,reason
governance_and_human_decisions,governance,conceptual,none,historical,none,medium,not_imported,ADAPT,rewrite_with_explicit_authority_and_fail_closed
independent_audit,verification,conceptual,none,historical,none,medium,not_imported,ADOPT,retain_role_separation
manifests_hashes_custody,evidence,conceptual,none,historical,storage_and_hashing,medium,not_imported,ADAPT,separate_evidence_from_runtime
rollback_procedures,recovery,conceptual,none,historical,verified_evidence,high,not_imported,ADAPT,require_proportional_and_verified_rollback
runtime_adapters,integration,not_demonstrated,unknown,historical,provider_contract,high,not_imported,DEFER,requires_consumer_contract_and_tests
capabilities_without_loader,declaration,not_demonstrated,unknown,historical,unknown,high,not_imported,REJECT,no_enforcement_or_proven_consumer
ambiguous_profiles_and_candidates,configuration,not_demonstrated,unknown,historical,unknown,high,not_imported,ARCHIVE,preserve_only_as_history
dual_memory_and_self_declared_overlays,state_and_authority,not_demonstrated,unknown,historical,unknown,critical,not_imported,REJECT,ambiguous_identity_and_authority
scripts_skills_and_executable_code,execution,variable,not_certified,historical,variable,critical,not_imported,DEFER,out_of_foundation_scope
historical_evidence,audit_record,human_audit,not_applicable,historical,external_archive,high,not_imported,REFERENCE,keep_outside_active_repository
